#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
EPRS1,SYNCRIP,9606.ENSP00000355890,9606.ENSP00000358635,0,0,0,0,0.165,0.519,0.9,0.995,0.999
FOSL2,JUN,9606.ENSP00000264716,9606.ENSP00000360266,0,0,0,0,0.164,0.956,0.9,0.998,0.999
HSP90AB1,TOMM70,9606.ENSP00000360609,9606.ENSP00000284320,0,0,0,0,0.164,0.585,0.5,0.995,0.999
GAPDH,SYNCRIP,9606.ENSP00000380070,9606.ENSP00000358635,0,0,0,0,0.163,0.096,0.9,0.991,0.999
EPRS1,GAPDH,9606.ENSP00000355890,9606.ENSP00000380070,0.113,0,0,0,0.162,0.136,0.9,0.994,0.999
BCAS2,PLRG1,9606.ENSP00000358554,9606.ENSP00000424417,0,0,0,0,0.161,0.996,0.9,0.997,0.999
CDC37,HSP90AB1,9606.ENSP00000222005,9606.ENSP00000360609,0,0,0,0,0.155,0.992,0.8,0.998,0.999
CREB1,CREBBP,9606.ENSP00000387699,9606.ENSP00000262367,0,0,0,0,0.155,0.996,0.9,0.997,0.999
FOS,JUND,9606.ENSP00000306245,9606.ENSP00000252818,0,0,0,0,0.155,0.907,0.9,0.998,0.999
UQCRC1,UQCRH,9606.ENSP00000203407,9606.ENSP00000309565,0,0,0,0,0.154,0.988,0.944,0.902,0.999
EP300,MDM2,9606.ENSP00000263253,9606.ENSP00000258149,0,0,0,0,0.152,0.82,0,0.994,0.999
CREB1,EP300,9606.ENSP00000387699,9606.ENSP00000263253,0,0,0,0,0.149,0.875,0.9,0.997,0.999
CDC5L,PRPF19,9606.ENSP00000360532,9606.ENSP00000227524,0,0,0,0,0.147,0.997,0.9,0.998,0.999
DNMT1,HDAC1,9606.ENSP00000352516,9606.ENSP00000362649,0,0,0,0,0.146,0.885,0.8,0.998,0.999
CWC15,PLRG1,9606.ENSP00000475615,9606.ENSP00000424417,0,0,0,0,0.14,0.995,0.9,0.924,0.999
CTNNBL1,CWC15,9606.ENSP00000355050,9606.ENSP00000475615,0,0,0,0,0.139,0.968,0.8,0.917,0.999
CLTB,CLTC,9606.ENSP00000309415,9606.ENSP00000479606,0,0,0,0,0.135,0.913,0.9,0.974,0.999
HSP90AA1,TOMM70,9606.ENSP00000335153,9606.ENSP00000284320,0,0,0,0,0.135,0.772,0.5,0.994,0.999
RAD51,TP53,9606.ENSP00000493712,9606.ENSP00000269305,0,0,0,0,0.135,0.884,0,0.995,0.999
CDC37,HSP90AA1,9606.ENSP00000222005,9606.ENSP00000335153,0,0,0,0,0.134,0.995,0.8,0.999,0.999
HIF1A,HSP90AA1,9606.ENSP00000437955,9606.ENSP00000335153,0,0,0,0,0.131,0.923,0,0.994,0.999
BCAS2,CDC5L,9606.ENSP00000358554,9606.ENSP00000360532,0,0,0,0,0.128,0.999,0.9,0.996,0.999
BAG3,HSPA8,9606.ENSP00000358081,9606.ENSP00000437125,0,0,0,0,0.122,0.867,0.54,0.997,0.999
DAXX,TP53,9606.ENSP00000266000,9606.ENSP00000269305,0,0,0,0,0.122,0.895,0.9,0.952,0.999
CLTB,CLTCL1,9606.ENSP00000309415,9606.ENSP00000441158,0,0,0,0,0.12,0.928,0.9,0.967,0.999
BCL10,TRAF6,9606.ENSP00000498104,9606.ENSP00000433623,0,0,0,0,0.118,0.295,0.9,0.994,0.999
RPA1,TP53,9606.ENSP00000254719,9606.ENSP00000269305,0,0,0,0,0.117,0.982,0.4,0.932,0.999
TLR4,TRAF6,9606.ENSP00000363089,9606.ENSP00000433623,0,0,0,0,0.117,0.923,0.9,0.997,0.999
MDM2,TP53,9606.ENSP00000258149,9606.ENSP00000269305,0,0,0,0,0.116,0.999,0.9,0.999,0.999
CREBBP,NCOA3,9606.ENSP00000262367,9606.ENSP00000361066,0,0,0,0,0.113,0.987,0.8,0.989,0.999
FOXO1,SIRT1,9606.ENSP00000368880,9606.ENSP00000212015,0,0,0,0,0.109,0.816,0.9,0.984,0.999
HDAC1,TP53,9606.ENSP00000362649,9606.ENSP00000269305,0,0,0,0,0.109,0.924,0.5,0.994,0.999
RIPK1,TRADD,9606.ENSP00000259808,9606.ENSP00000341268,0,0,0,0,0.107,0.994,0.9,0.998,0.999
DNMT1,USP7,9606.ENSP00000352516,9606.ENSP00000343535,0,0,0,0,0.106,0.987,0,0.919,0.999
ATM,TP53,9606.ENSP00000278616,9606.ENSP00000269305,0,0,0,0,0.103,0.928,0.9,0.975,0.999
BCL2,TP53,9606.ENSP00000381185,9606.ENSP00000269305,0,0,0,0,0.103,0.869,0.9,0.999,0.999
BIRC2,TRADD,9606.ENSP00000477613,9606.ENSP00000341268,0,0,0,0,0.103,0.994,0.8,0.996,0.999
EP300,RELA,9606.ENSP00000263253,9606.ENSP00000384273,0,0,0,0,0.103,0.95,0.5,0.994,0.999
BAD,BCL2L1,9606.ENSP00000378040,9606.ENSP00000365230,0,0,0,0,0.102,0.999,0.9,0.964,0.999
CREBBP,RELA,9606.ENSP00000262367,9606.ENSP00000384273,0,0,0,0,0.102,0.991,0.5,0.958,0.999
BIRC3,RIPK1,9606.ENSP00000263464,9606.ENSP00000259808,0,0,0,0,0.101,0.855,0.9,0.993,0.999
FOSL1,JUNB,9606.ENSP00000310170,9606.ENSP00000303315,0,0,0,0,0.101,0.83,0.9,0.996,0.999
FOSL2,JUND,9606.ENSP00000264716,9606.ENSP00000252818,0,0,0,0,0.1,0.872,0.9,0.999,0.999
MDM4,TP53,9606.ENSP00000356150,9606.ENSP00000269305,0,0,0,0,0.093,0.999,0.9,0.998,0.999
AKT1,CDC42,9606.ENSP00000451828,9606.ENSP00000497733,0,0,0,0,0.092,0.11,0,0.999,0.999
FOSL1,JUN,9606.ENSP00000310170,9606.ENSP00000360266,0,0,0,0,0.09,0.872,0.9,0.996,0.999
CRK,SRC,9606.ENSP00000300574,9606.ENSP00000362680,0,0,0,0,0.086,0.733,0.9,0.995,0.999
EP300,MYC,9606.ENSP00000263253,9606.ENSP00000478887,0,0,0,0,0.086,0.783,0.5,0.994,0.999
HSP90AA1,STUB1,9606.ENSP00000335153,9606.ENSP00000219548,0,0,0,0,0.083,0.983,0.4,0.997,0.999
EP300,HIF1A,9606.ENSP00000263253,9606.ENSP00000437955,0,0,0,0,0.082,0.999,0.9,0.996,0.999
HDAC1,NCOR1,9606.ENSP00000362649,9606.ENSP00000268712,0,0,0,0,0.081,0.435,0.8,0.996,0.999
HSPA8,ST13,9606.ENSP00000437125,9606.ENSP00000216218,0,0,0,0,0.08,0.837,0.4,0.992,0.999
BCL2L1,BECN1,9606.ENSP00000365230,9606.ENSP00000355231,0,0,0,0,0.078,0.956,0.9,0.996,0.999
HMGB1,TLR4,9606.ENSP00000345347,9606.ENSP00000363089,0,0,0,0,0.078,0.445,0.5,0.998,0.999
HSPA8,STUB1,9606.ENSP00000437125,9606.ENSP00000219548,0,0,0,0,0.076,0.995,0.54,0.998,0.999
HSP90AB1,STUB1,9606.ENSP00000360609,9606.ENSP00000219548,0,0,0,0,0.075,0.818,0.54,0.997,0.999
RIPK1,TRAF2,9606.ENSP00000259808,9606.ENSP00000247668,0,0,0,0,0.075,0.994,0.9,0.994,0.999
BCL2L1,TP53,9606.ENSP00000365230,9606.ENSP00000269305,0,0,0,0,0.074,0.986,0,0.998,0.999
BAG3,HSPA4,9606.ENSP00000358081,9606.ENSP00000302961,0,0,0,0,0.073,0.875,0.4,0.997,0.999
CHEK2,TP53,9606.ENSP00000372023,9606.ENSP00000269305,0,0,0,0,0.072,0.833,0.75,0.992,0.999
CDKN2A,MDM2,9606.ENSP00000418915,9606.ENSP00000258149,0,0,0,0,0.068,0.992,0.9,0.999,0.999
BAG3,STUB1,9606.ENSP00000358081,9606.ENSP00000219548,0,0,0,0,0.067,0.775,0.54,0.991,0.999
BIRC3,TRAF2,9606.ENSP00000263464,9606.ENSP00000247668,0,0,0,0,0.067,0.991,0.9,0.99,0.999
BRCA1,TP53,9606.ENSP00000418960,9606.ENSP00000269305,0,0,0,0,0.067,0.895,0.5,0.999,0.999
MAP3K7,TRAF6,9606.ENSP00000358335,9606.ENSP00000433623,0,0,0,0,0.067,0.992,0.9,0.997,0.999
PTEN,TP53,9606.ENSP00000361021,9606.ENSP00000269305,0,0,0,0,0.067,0.748,0.9,0.968,0.999
BAG2,HSPA8,9606.ENSP00000359727,9606.ENSP00000437125,0,0,0,0,0.065,0.987,0.54,0.997,0.999
BAD,BCL2,9606.ENSP00000378040,9606.ENSP00000381185,0,0,0,0,0.063,0.908,0.9,0.926,0.999
EP300,SMAD3,9606.ENSP00000263253,9606.ENSP00000332973,0,0,0,0,0.062,0.926,0.5,0.992,0.999
ESR1,NCOA3,9606.ENSP00000405330,9606.ENSP00000361066,0,0,0,0,0.062,0.976,0.9,0.997,0.999
FOSL1,JUND,9606.ENSP00000310170,9606.ENSP00000252818,0,0,0,0,0.062,0.76,0.9,0.998,0.999
CREBBP,HIF1A,9606.ENSP00000262367,9606.ENSP00000437955,0,0,0,0,0.061,0.991,0.9,0.99,0.999
FOXO1,PPARGC1A,9606.ENSP00000368880,9606.ENSP00000264867,0,0,0,0,0.06,0.067,0.9,0.997,0.999
FOXO3,SIRT1,9606.ENSP00000339527,9606.ENSP00000212015,0,0,0,0,0.06,0.774,0.9,0.964,0.999
MDM2,USP7,9606.ENSP00000258149,9606.ENSP00000343535,0,0,0,0,0.06,0.925,0.5,0.995,0.999
ATR,CHEK1,9606.ENSP00000343741,9606.ENSP00000391090,0,0,0,0,0.059,0.974,0.9,0.947,0.999
CWC15,PRPF19,9606.ENSP00000475615,9606.ENSP00000227524,0,0,0,0,0.058,0.997,0.9,0.547,0.999
MAPK8,MAPK8IP1,9606.ENSP00000378974,9606.ENSP00000241014,0,0,0,0,0.058,0.846,0.9,0.992,0.999
DAXX,USP7,9606.ENSP00000266000,9606.ENSP00000343535,0,0,0,0,0.056,0.833,0.8,0.994,0.999
HSPA4,STUB1,9606.ENSP00000302961,9606.ENSP00000219548,0,0,0,0,0.056,0.995,0,0.998,0.999
MAP2K7,MAPK8IP1,9606.ENSP00000381070,9606.ENSP00000241014,0,0,0,0,0.056,0.66,0.9,0.98,0.999
TAF4,TBP,9606.ENSP00000252996,9606.ENSP00000230354,0,0,0,0,0.056,0.999,0.8,0.958,0.999
BAK1,BID,9606.ENSP00000363591,9606.ENSP00000318822,0,0,0,0,0.055,0.975,0.9,0.656,0.999
BCL2L1,BID,9606.ENSP00000365230,9606.ENSP00000318822,0,0,0,0,0.055,0.99,0.9,0.616,0.999
FKBP5,NR3C1,9606.ENSP00000444810,9606.ENSP00000231509,0,0,0,0,0.055,0.376,0.5,0.998,0.999
MAP3K5,TRAF2,9606.ENSP00000351908,9606.ENSP00000247668,0,0,0,0,0.055,0.881,0.9,0.993,0.999
PPARGC1A,SIRT1,9606.ENSP00000264867,9606.ENSP00000212015,0,0,0,0,0.055,0.499,0.9,0.998,0.999
ESR1,HSP90AA1,9606.ENSP00000405330,9606.ENSP00000335153,0,0,0,0,0.054,0.889,0.5,0.988,0.999
HSP90AA1,NR3C1,9606.ENSP00000335153,9606.ENSP00000231509,0,0,0,0,0.054,0.994,0.5,0.996,0.999
BRCA1,TP53BP1,9606.ENSP00000418960,9606.ENSP00000371475,0,0,0,0,0.05,0.826,0.5,0.999,0.999
AKT1,HSP90AA1,9606.ENSP00000451828,9606.ENSP00000335153,0,0,0,0,0.049,0.883,0.9,0.996,0.999
AKT1,HSP90AB1,9606.ENSP00000451828,9606.ENSP00000360609,0,0,0,0,0.049,0.626,0.9,0.996,0.999
BAG1,HSPA4,9606.ENSP00000489189,9606.ENSP00000302961,0,0,0,0,0.049,0.882,0.4,0.997,0.999
BECN1,HMGB1,9606.ENSP00000355231,9606.ENSP00000345347,0,0,0,0,0.049,0.628,0.9,0.988,0.999
BRCA1,MYC,9606.ENSP00000418960,9606.ENSP00000478887,0,0,0,0,0.049,0.825,0,0.995,0.999
CCAR2,SIRT1,9606.ENSP00000310670,9606.ENSP00000212015,0,0,0,0,0.049,0.83,0.9,0.977,0.999
CREBBP,KAT2B,9606.ENSP00000262367,9606.ENSP00000263754,0,0,0,0,0.049,0.793,0.9,0.992,0.999
EGFR,HSP90AA1,9606.ENSP00000275493,9606.ENSP00000335153,0,0,0,0,0.049,0.854,0.5,0.993,0.999
EP300,TP53,9606.ENSP00000263253,9606.ENSP00000269305,0,0,0,0,0.049,0.999,0.9,0.998,0.999
EP300,HDAC1,9606.ENSP00000263253,9606.ENSP00000362649,0,0,0,0,0.049,0.806,0.5,0.995,0.999
EP300,KAT2B,9606.ENSP00000263253,9606.ENSP00000263754,0,0,0,0,0.049,0.841,0.9,0.998,0.999
JUN,MAPK8,9606.ENSP00000360266,9606.ENSP00000378974,0,0,0,0,0.049,0.997,0.9,0.978,0.999
TRADD,TRAF2,9606.ENSP00000341268,9606.ENSP00000247668,0,0,0,0,0.049,0.999,0.9,0.996,0.999
ATM,CHEK2,9606.ENSP00000278616,9606.ENSP00000372023,0,0,0,0,0.044,0.836,0.5,0.999,0.999
EP300,JUN,9606.ENSP00000263253,9606.ENSP00000360266,0,0,0,0,0.044,0.885,0.5,0.991,0.999
ESR1,FOS,9606.ENSP00000405330,9606.ENSP00000306245,0,0,0,0,0.044,0.522,0.9,0.994,0.999
PPP1R13L,TP53,9606.ENSP00000354218,9606.ENSP00000269305,0,0,0,0,0.044,0.984,0.5,0.91,0.999
ATM,BRCA1,9606.ENSP00000278616,9606.ENSP00000418960,0,0,0,0,0.042,0.847,0.9,0.999,0.999
ATM,TP53BP1,9606.ENSP00000278616,9606.ENSP00000371475,0,0,0,0,0.042,0.874,0.5,0.995,0.999
HSP90AA1,SRC,9606.ENSP00000335153,9606.ENSP00000362680,0,0,0,0,0.042,0.799,0.8,0.994,0.999
AKT1,MDM2,9606.ENSP00000451828,9606.ENSP00000258149,0,0,0,0,0,0.891,0.9,0.98,0.999
AKT1,FOXO1,9606.ENSP00000451828,9606.ENSP00000368880,0,0,0,0,0,0.881,0.9,0.94,0.999
BAG1,HSPA8,9606.ENSP00000489189,9606.ENSP00000437125,0,0,0,0,0,0.994,0.4,0.998,0.999
BCL2,BECN1,9606.ENSP00000381185,9606.ENSP00000355231,0,0,0,0,0,0.996,0.9,0.998,0.999
BIRC2,TRAF2,9606.ENSP00000477613,9606.ENSP00000247668,0,0,0,0,0,0.993,0.9,0.993,0.999
BRCA1,ESR1,9606.ENSP00000418960,9606.ENSP00000405330,0,0,0,0,0,0.904,0,0.995,0.999
CCNA2,CDKN1A,9606.ENSP00000481380,9606.ENSP00000384849,0,0,0,0,0,0.924,0.9,0.995,0.999
CD40,TRAF6,9606.ENSP00000361359,9606.ENSP00000433623,0,0,0,0,0,0.895,0.9,0.996,0.999
CDKN1A,TP53,9606.ENSP00000384849,9606.ENSP00000269305,0,0,0,0,0,0.925,0.9,0.96,0.999
CDKN2A,TP53,9606.ENSP00000418915,9606.ENSP00000269305,0,0,0,0,0,0.874,0.9,0.97,0.999
CDKN2A,NPM1,9606.ENSP00000418915,9606.ENSP00000296930,0,0,0,0,0,0.874,0,0.995,0.999
CREBBP,TP53,9606.ENSP00000262367,9606.ENSP00000269305,0,0,0,0,0,0.998,0.9,0.996,0.999
DAXX,MAP3K5,9606.ENSP00000266000,9606.ENSP00000351908,0,0,0,0,0,0.858,0.9,0.993,0.999
DNAJC6,HSPA8,9606.ENSP00000360108,9606.ENSP00000437125,0,0,0,0,0,0.904,0.9,0.996,0.999
ESR1,NCOR1,9606.ENSP00000405330,9606.ENSP00000268712,0,0,0,0,0,0.799,0.9,0.987,0.999
ESR1,SP1,9606.ENSP00000405330,9606.ENSP00000329357,0,0,0,0,0,0.892,0.9,0.979,0.999
ESR1,JUN,9606.ENSP00000405330,9606.ENSP00000360266,0,0,0,0,0,0.631,0.9,0.995,0.999
ESR1,SRC,9606.ENSP00000405330,9606.ENSP00000362680,0,0,0,0,0,0.925,0.9,0.996,0.999
HAP1,HTT,9606.ENSP00000334002,9606.ENSP00000347184,0,0,0,0,0,0.822,0,0.997,0.999
HIF1A,TP53,9606.ENSP00000437955,9606.ENSP00000269305,0,0,0,0,0,0.847,0,0.994,0.999
HIPK2,TP53,9606.ENSP00000385571,9606.ENSP00000269305,0,0,0,0,0,0.867,0.9,0.934,0.999
